description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Configure storage auto-grow,azure-resources/DBforMySQL/flexibleServers/recommendations.yaml,8176a79d-8645-4e52-96be-a10fc0204fe5,True,"[{'name': 'Azure Database for MySQL - Flexible Server service tiers - Storage auto grow', 'url': 'https://learn.microsoft.com/azure/mysql/flexible-server/concepts-service-tiers-storage#storage-auto-grow'}]","Configure storage auto-grow to prevent the server from running out of storage and becoming read-only.
",True,Scale storage automatically to meet increasing demand,Scalability,High,Active,Microsoft.DBforMySQL/flexibleServers,,[]
Enable HA with zone redundancy,azure-resources/DBforPostgreSQL/flexibleServers/recommendations.yaml,ca87914f-aac4-4783-ab67-82a6f936f194,True,"[{'name': 'Overview of high availability with Azure Database for PostgreSQL', 'url': 'https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-high-availability'}]","Enable HA with zone redundancy on flexible server instances to deploy a standby replica in a different zone, offering automatic failover capability for improved reliability and disaster recovery.
",True,Enhanced uptime and data protection,HighAvailability,High,Active,Microsoft.DBforPostgreSQL/flexibleServers,80b4e93c-4500-4fbd-bd6f-3ec245f72be9,[]
Enable custom maintenance schedule,azure-resources/DBforPostgreSQL/flexibleServers/recommendations.yaml,b2bad57d-7e03-4c0f-9024-597c9eb295bb,True,"[{'name': 'Scheduled maintenance in Azure Database for PostgreSQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-maintenance'}]","Use custom maintenance schedule on flexible server instances to select a preferred time for service updates to be applied.
",True,Control update timings,Scalability,High,Active,Microsoft.DBforPostgreSQL/flexibleServers,,[]
Configure geo redundant backup storage,azure-resources/DBforPostgreSQL/flexibleServers/recommendations.yaml,31f4ac4b-29cb-4588-8de2-d8fe6f13ceb3,True,"[{'name': 'Backup and restore in Azure Database for PostgreSQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-backup-restore'}]","Configure GRS to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",True,Recover from regional failure and/or disaster,DisasterRecovery,High,Active,Microsoft.DBforPostgreSQL/flexibleServers,5295ed8a-f7a1-48d3-b4a9-e5e472cf1685,[]
Configure one or more read replicas,azure-resources/DBforPostgreSQL/flexibleServers/recommendations.yaml,2ab85a67-26be-4ed2-a0bb-101b2513ec63,True,"[{'name': 'Read replicas in Azure Database for PostgreSQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/postgresql/flexible-server/concepts-read-replicas'}]","Configure one or more read replicas to ensure that your database meets its availability and durability targets even in the face of failures or disasters.
",True,Recover from regional failure and/or disaster,DisasterRecovery,High,Active,Microsoft.DBforPostgreSQL/flexibleServers,7d2149f5-94f7-458d-8171-92cf66832cb2,[]
Configure storage auto-grow,azure-resources/DBforPostgreSQL/flexibleServers/recommendations.yaml,6293a3cc-6b4a-4c0f-9ea7-b8ae8d7dd3d5,False,"[{'name': 'Storage autogrow using Azure portal in Azure Database for PostgreSQL - Flexible Server', 'url': 'https://learn.microsoft.com/azure/postgresql/flexible-server/how-to-auto-grow-storage-portal'}]","Configure storage auto-grow to prevent the server from running out of storage and becoming read-only.
",False,Scale storage automatically to meet increasing demand,Scalability,High,Active,Microsoft.DBforPostgreSQL/flexibleServers,,[]
Enable zone redundancy in Managed Grafana,azure-resources/Dashboard/grafana/recommendations.yaml,6cd57b65-ef84-4088-9ada-c0d8de74c2f7,True,"[{'name': 'Enable zone redundancy in Azure Managed Grafana', 'url': 'https://learn.microsoft.com/Azure/managed-grafana/how-to-enable-zone-redundancy'}]","Managed Grafana Standard tier is hosted on a dedicated set of VMs to provide redundancy. With zone redundancy enabled, VMs are spread across availability zones (AZ). Related resources are also configured for AZ. Zone redundancy can only be enabled when creating the Azure Managed Grafana instance.
",False,Enhanced Managed Grafana resilience to failures,HighAvailability,Medium,Active,Microsoft.Dashboard/grafana,,[]
Databricks runtime version is not latest or is not LTS version,azure-resources/Databricks/workspaces/recommendations.yaml,0e835cc2-2551-a247-b1f1-3c5f25c9cb70,False,"[{'name': 'Databricks runtime support lifecycles', 'url': 'https://learn.microsoft.com/azure/databricks/release-notes/runtime/databricks-runtime-ver'}]","Databricks recommends migrating workloads to the latest or LTS version of its runtime for enhanced stability and support. If on Runtime 11.3 LTS or above, move directly to the latest 12.x version. If below, first migrate to 11.3 LTS, then to the latest 12.x version as per the migration guide.
",True,Enhanced stability and support,OtherBestPractices,Medium,Active,Microsoft.Databricks/workspaces,,[]
Use SSD backed VMs for Worker VM Type and Driver type,azure-resources/Databricks/workspaces/recommendations.yaml,5877a510-8444-7a4c-8412-a8dab8662f7e,False,"[{'name': 'Azure managed disk types', 'url': 'https://learn.microsoft.com/azure/virtual-machines/disks-types#premium-ssd'}]","Upgrade HDDs in premium VMs to SSDs for better speed and reliability. Premium SSDs boost IO-heavy apps; Standard SSDs balance cost and performance. Ideal for critical workloads, upgrading improves connectivity with brief reboot. Consider for vital VMs
",True,"Faster, reliable VM performance",Scalability,Medium,Active,Microsoft.Databricks/workspaces,,[]
Enable autoscaling for batch workloads,azure-resources/Databricks/workspaces/recommendations.yaml,5c72f0d6-55ec-d941-be84-36c194fa78c0,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices#enable-autoscaling-for-batch-workloadss'}]","Autoscaling adjusts cluster sizes automatically based on workload demands, offering benefits for many use cases in terms of costs and performance. It includes guidance on when and how to best utilize Autoscaling. For streaming, Delta Live Tables with autoscaling is advised.
",True,Cost and performance optimization,Scalability,High,Active,Microsoft.Databricks/workspaces,,[]
Enable autoscaling for SQL warehouse,azure-resources/Databricks/workspaces/recommendations.yaml,362ad2b6-b92c-414f-980a-0cf69467ccce,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices#enable-autoscaling-for-sql-warehouse'}]","The scaling parameter of a SQL warehouse defines the min and max number of clusters for distributing queries. By default, it's set to one. Increasing the cluster count can accommodate more concurrent users effectively.
",True,Improves concurrency and efficiency,Scalability,High,Active,Microsoft.Databricks/workspaces,,[]
Use Delta Live Tables enhanced autoscaling,azure-resources/Databricks/workspaces/recommendations.yaml,cd77db98-9b13-6e4b-bd2b-74c2cb538628,False,"[{'name': 'Databricks enhanced autoscaling', 'url': 'https://learn.microsoft.com/azure/databricks/delta-live-tables/settings#use-autoscaling-to-increase-efficiency-and-reduce-resource-usage'}]","Databricks enhanced autoscaling optimizes cluster utilization by automatically allocating cluster resources based on workload volume, with minimal impact on the data processing latency of your pipelines.
",True,Optimized resource use and minimal latency,Scalability,Medium,Active,Microsoft.Databricks/workspaces,,[]
"Automatic Job Termination is enabled, ensure there are no user-defined local processes",azure-resources/Databricks/workspaces/recommendations.yaml,3d3e53b5-ebd1-db42-b43b-d4fad74824ec,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices'}]","To conserve cluster resources, you can terminate a cluster to store its configuration for future reuse or autostart jobs. Clusters can auto-terminate after inactivity, but this only tracks Spark jobs, not local processes, which might still be running even after Spark jobs end.
",True,"Saves cluster resources, avoids idle use",HighAvailability,Medium,Active,Microsoft.Databricks/workspaces,,[]
Enable Logging-Cluster log delivery,azure-resources/Databricks/workspaces/recommendations.yaml,7fb90127-5364-bb4d-86fa-30778ed713fb,False,"[{'name': 'Create a cluster', 'url': 'https://learn.microsoft.com/azure/databricks/clusters/configure#cluster-log-delivery'}]","When creating a Databricks cluster, you can set a log delivery location for the Spark driver, worker nodes, and events. Logs are delivered every 5 mins and archived hourly. Upon cluster termination, all generated logs until that point are guaranteed to be delivered.
",True,Improved troubleshooting and audit,MonitoringAndAlerting,Medium,Active,Microsoft.Databricks/workspaces,,[]
Use Delta Lake for higher reliability,azure-resources/Databricks/workspaces/recommendations.yaml,da4ea916-4df3-8c4d-8060-17b49da45977,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices'}]","Delta Lake is an open source storage format enhancing data lakes' reliability with ACID transactions, schema enforcement, and scalable metadata handling.
",True,Enhances data reliability and processing,HighAvailability,High,Active,Microsoft.Databricks/workspaces,,[]
Automatically rescue invalid or nonconforming data with Databricks Auto Loader or Delta Live Tables,azure-resources/Databricks/workspaces/recommendations.yaml,7e52d64d-8cc0-8548-a593-eb49ab45630d,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices'}]","Invalid or nonconforming data can crash workloads dependent on specific data formats. Best practices recommend filtering such data at ingestion to improve end-to-end resilience, ensuring no data is lost or missed.
",True,Enhanced data resilience and integrity,BusinessContinuity,Low,Active,Microsoft.Databricks/workspaces,,[]
Configure jobs for automatic retries and termination,azure-resources/Databricks/workspaces/recommendations.yaml,84e44da6-8cd7-b349-b02c-c8bf72cf587c,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices'}]","Use Databricks and MLflow for deploying models as Spark UDFs for job scheduling, retries, autoscaling. Model serving offers scalable infrastructure, processes models using MLflow, and serves them via REST API using serverless compute managed in Databricks cloud.
",True,Enhanced reliability and autoscaling,HighAvailability,High,Active,Microsoft.Databricks/workspaces,,[]
Use a scalable and production-grade model serving infrastructure,azure-resources/Databricks/workspaces/recommendations.yaml,4cbb7744-ff3d-0447-badb-baf068c95696,False,"[{'name': 'Best practices for reliability', 'url': 'https://learn.microsoft.com/azure/databricks/lakehouse-architecture/reliability/best-practices'}]","Use Databricks and MLflow for deploying models as Apache Spark UDFs, benefiting from job scheduling, retries, autoscaling, etc.
",True,Enhances scalability and reliability,Scalability,High,Active,Microsoft.Databricks/workspaces,,[]
